claim_id,policy_id,claim_date,claim_type,claim_amount_usd,settled_amount_usd,status,description,is_fraud_flag,days_to_report
CLM00001,POL00966,2023-09-09,Natural Disaster,28554.49,0.0,Rejected,Hit and run incident,False,18
CLM00002,POL01661,2024-03-01,Vandalism,52455.85,0.0,Rejected,Front end collision on highway,False,46
CLM00003,POL01761,2021-05-02,Fire,78288.69,53347.9,Settled,Windshield cracked by debris,False,39
CLM00004,POL02123,2020-01-18,Theft,60430.71,0.0,Pending,Vandalism - scratches and dents,False,53
CLM00005,POL00616,2022-08-03,Theft,31226.82,0.0,Approved,Windshield cracked by debris,False,1
CLM00006,POL00797,2022-02-13,Vandalism,70816.39,0.0,Pending,Vandalism - scratches and dents,False,25
CLM00007,POL01792,2024-10-25,Fire,52540.32,0.0,Rejected,Flood damage during heavy rainfall,False,32
CLM00008,POL00903,2020-04-13,Fire,74538.84,73264.95,Settled,Windshield cracked by debris,False,38
CLM00009,POL00771,2023-01-15,Vandalism,45616.06,0.0,Under Review,Hit and run incident,False,14
CLM00010,POL02761,2022-11-14,Flood,62980.83,0.0,Approved,Vandalism - scratches and dents,False,42
CLM00011,POL00461,2023-10-21,Theft,75195.69,0.0,Pending,Vandalism - scratches and dents,True,55
CLM00012,POL01022,2021-10-28,Accident,51336.1,0.0,Rejected,Vandalism - scratches and dents,False,53
CLM00013,POL01320,2024-07-12,Vandalism,17476.63,0.0,Pending,Flood damage during heavy rainfall,False,43
CLM00014,POL01922,2023-10-12,Fire,77104.24,55769.52,Settled,Hit and run incident,False,14
CLM00015,POL02419,2020-05-06,Natural Disaster,24334.84,0.0,Pending,,False,24
CLM00016,POL01814,2024-04-28,Accident,20384.88,0.0,Rejected,Vandalism - scratches and dents,False,0
CLM00017,POL00086,2021-04-17,Fire,64871.02,51031.21,Settled,Vehicle stolen from residential area,True,28
CLM00018,POL00150,2020-01-16,Fire,-2076.32,0.0,Rejected,Hit and run incident,False,56
CLM00019,POL02418,2020-12-13,Natural Disaster,22269.42,0.0,Approved,Vehicle stolen from residential area,True,46
CLM00020,POL02021,2022-06-25,Natural Disaster,30621.73,0.0,Pending,Rear end damage in parking lot,True,13
CLM00021,POL00233,2021-06-30,Accident,33980.54,0.0,Rejected,Vandalism - scratches and dents,False,53
CLM00022,POL01230,2022-06-13,Vandalism,61696.05,40453.7,Settled,Front end collision on highway,False,14
CLM00023,POL02122,2021-07-18,Theft,25311.39,0.0,Approved,Fire damage in garage,False,39
CLM00024,POL01866,2023-03-02,Natural Disaster,12257.23,0.0,Pending,,False,36
CLM00025,POL01660,2024-08-19,Flood,57227.21,0.0,Pending,Flood damage during heavy rainfall,False,4
CLM00026,POL02448,2021-09-02,Vandalism,70652.21,0.0,Rejected,Front end collision on highway,False,21
CLM00027,POL00497,2023-04-25,Vandalism,30671.19,38725.93,Settled,Front end collision on highway,False,13
CLM00028,POL01093,2020-06-11,Flood,72019.43,0.0,Approved,,False,48
CLM00029,POL02651,2022-04-17,Theft,-1336.9,0.0,Pending,Fire damage in garage,False,16
CLM00030,POL01369,2021-08-26,Natural Disaster,24050.95,0.0,Approved,Rear end damage in parking lot,False,47
CLM00031,POL01276,2022-08-10,Fire,68909.33,58141.96,Settled,Vehicle stolen from residential area,False,0
CLM00032,POL02289,2022-08-23,Accident,73490.53,0.0,Approved,,False,25
CLM00033,POL01322,2022-12-01,Flood,54178.64,0.0,Under Review,,False,45
CLM00034,POL01651,2023-06-07,Accident,45237.07,0.0,Approved,Fire damage in garage,False,40
CLM00035,POL01797,2022-09-07,Accident,73715.88,0.0,Pending,Flood damage during heavy rainfall,True,2
CLM00036,POL01368,2020-03-17,Accident,45758.17,0.0,Pending,Front end collision on highway,False,43
CLM00037,POL02092,2020-01-27,Fire,70870.21,0.0,Rejected,Flood damage during heavy rainfall,False,55
CLM00038,POL00930,2023-08-05,Natural Disaster,2050.77,0.0,Under Review,Flood damage during heavy rainfall,False,54
CLM00039,POL01345,2024-12-29,Natural Disaster,34984.0,0.0,Approved,Front end collision on highway,False,36
CLM00040,POL00830,2024-07-09,Natural Disaster,49184.25,0.0,Pending,,False,0
CLM00041,POL00769,2022-05-30,Theft,4235.53,0.0,Under Review,Front end collision on highway,False,28
CLM00042,POL00846,2020-03-07,Flood,40419.44,0.0,Approved,Windshield cracked by debris,False,51
CLM00043,POL00379,2023-12-02,Fire,30674.36,0.0,Approved,Rear end damage in parking lot,False,0
CLM00044,POL01710,2022-06-02,Flood,73909.45,0.0,Approved,,False,49
CLM00045,POL00351,2022-11-24,Flood,3545.85,0.0,Rejected,Front end collision on highway,False,8
CLM00046,POL01567,2020-08-20,Fire,55130.62,0.0,Approved,Vandalism - scratches and dents,True,8
CLM00047,POL00727,2020-11-21,Theft,20702.88,0.0,Rejected,Vehicle stolen from residential area,False,37
CLM00048,POL02216,2021-07-13,Flood,64922.68,34689.12,Settled,Rear end damage in parking lot,False,38
CLM00049,POL02970,2020-08-13,Flood,62025.26,47751.08,Settled,Rear end damage in parking lot,False,3
CLM00050,POL01321,2023-10-13,Accident,23151.63,0.0,Pending,Rear end damage in parking lot,False,34
CLM00051,POL01149,2024-08-21,Accident,39915.79,0.0,Approved,Rear end damage in parking lot,False,39
CLM00052,POL01489,2021-12-03,Vandalism,16371.86,0.0,Rejected,Windshield cracked by debris,False,11
CLM00053,POL00617,2024-12-11,Accident,37679.43,0.0,Under Review,,False,0
CLM00054,POL01192,2023-09-19,Flood,16492.68,0.0,Pending,Flood damage during heavy rainfall,False,47
CLM00055,POL01254,2024-01-05,Flood,70568.7,0.0,Approved,Windshield cracked by debris,False,55
CLM00056,POL01940,2021-12-31,Accident,39068.96,0.0,Under Review,Front end collision on highway,False,31
CLM00057,POL01098,2022-01-02,Fire,5709.57,3483.43,Settled,Vehicle stolen from residential area,False,23
CLM00058,POL01335,2024-07-31,Accident,63661.75,0.0,Rejected,Front end collision on highway,False,21
CLM00059,POL02799,2020-06-23,Natural Disaster,38178.25,0.0,Under Review,Windshield cracked by debris,False,13
CLM00060,POL00813,2023-09-12,Vandalism,67305.7,0.0,Pending,Hit and run incident,False,44
CLM00061,POL00790,2022-05-17,Accident,54875.56,0.0,Under Review,Flood damage during heavy rainfall,True,31
CLM00062,POL02128,2020-08-13,Theft,34243.26,0.0,Approved,Vandalism - scratches and dents,False,30
CLM00063,POL00040,2021-05-04,Vandalism,74229.23,0.0,Approved,Rear end damage in parking lot,False,45
CLM00064,POL01025,2023-10-26,Natural Disaster,65786.71,0.0,Under Review,Flood damage during heavy rainfall,False,4
CLM00065,POL00848,2021-05-23,Accident,62774.34,0.0,Under Review,Flood damage during heavy rainfall,False,47
CLM00066,POL02120,2021-09-25,Fire,79649.86,42137.44,Settled,,False,34
CLM00067,POL01395,2020-11-02,Accident,40015.2,0.0,Approved,Vandalism - scratches and dents,False,41
CLM00068,POL00328,2021-06-30,Accident,9255.1,0.0,Under Review,Vandalism - scratches and dents,False,40
CLM00069,POL01748,2023-02-08,Natural Disaster,0.0,0.0,Approved,,False,0
CLM00070,POL01921,2022-09-08,Theft,67807.83,0.0,Rejected,Vandalism - scratches and dents,False,39
CLM00071,POL01421,2024-12-18,Vandalism,47011.43,0.0,Rejected,Vandalism - scratches and dents,False,27
CLM00072,POL01528,2022-06-10,Natural Disaster,2450.7,0.0,Under Review,Rear end damage in parking lot,False,18
CLM00073,POL02935,2023-11-02,Vandalism,53608.26,0.0,Approved,Vehicle stolen from residential area,False,54
CLM00074,POL00106,2023-09-29,Natural Disaster,41250.97,0.0,Under Review,Rear end damage in parking lot,False,57
CLM00075,POL02549,2021-08-25,Vandalism,55125.24,0.0,Approved,Hit and run incident,False,31
CLM00076,POL00543,2024-09-12,Flood,0.0,0.0,Settled,Rear end damage in parking lot,False,58
CLM00077,POL00067,2022-01-19,Theft,74924.52,0.0,Rejected,Front end collision on highway,True,6
CLM00078,POL02217,2024-06-02,Accident,53704.04,0.0,Approved,Vehicle stolen from residential area,False,8
CLM00079,POL02100,2020-04-01,Natural Disaster,29301.0,28676.98,Settled,Fire damage in garage,False,12
CLM00080,POL02216,2022-04-01,Natural Disaster,8885.74,0.0,Rejected,Hit and run incident,False,16
CLM00081,POL02203,2024-11-02,Natural Disaster,49745.12,0.0,Under Review,Rear end damage in parking lot,False,0
CLM00082,POL00282,2021-08-06,Natural Disaster,45439.32,0.0,Approved,Windshield cracked by debris,False,13
CLM00083,POL00983,2024-05-17,Vandalism,3278.41,0.0,Under Review,Flood damage during heavy rainfall,False,23
CLM00084,POL00057,2022-10-07,Flood,37296.66,0.0,Pending,Front end collision on highway,False,0
CLM00085,POL01734,2022-10-25,Theft,33175.71,23817.38,Settled,Flood damage during heavy rainfall,False,7
CLM00086,POL02167,2021-10-07,Vandalism,75979.4,0.0,Pending,Vandalism - scratches and dents,False,25
CLM00087,POL02106,2024-02-03,Fire,9523.04,0.0,Pending,Fire damage in garage,False,15
CLM00088,POL00453,2024-03-04,Natural Disaster,8351.62,0.0,Pending,Hit and run incident,False,19
CLM00089,POL01046,2020-05-24,Flood,21309.59,0.0,Rejected,,False,29
CLM00090,POL02616,2023-08-25,Natural Disaster,0.0,0.0,Under Review,Rear end damage in parking lot,False,41
CLM00091,POL01589,2021-05-18,Theft,28536.77,0.0,Approved,Flood damage during heavy rainfall,False,8
CLM00092,POL01789,2022-04-05,Flood,1610.51,1506.57,Settled,Rear end damage in parking lot,False,37
CLM00093,POL02840,2024-04-09,Vandalism,8813.67,0.0,Under Review,Fire damage in garage,False,25
CLM00094,POL01974,2022-08-31,Vandalism,6607.37,0.0,Rejected,Vandalism - scratches and dents,False,22
CLM00095,POL01391,2024-03-25,Theft,49207.22,0.0,Approved,Rear end damage in parking lot,False,51
CLM00096,POL01609,2024-04-12,Fire,58875.46,51777.81,Settled,Flood damage during heavy rainfall,False,50
CLM00097,POL00154,2020-04-22,Accident,1102.01,0.0,Under Review,Rear end damage in parking lot,False,0
