claim_id,policy_id,claim_date,claim_type,claim_amount_usd,settled_amount_usd,status,description,is_fraud_flag,days_to_report
CLM00001,POL00966,09 Sep 2023,Natural Disaster,28554.49,,Rejected,Hit and run incident,No,18.0
CLM00002,POL01661,01 Mar 2024,Vandalism,52455.85,,Rejected,Front end collision on highway,No,46.0
CLM00003,POL01761,02/05/2021,Fire,78288.69,53347.9,Settled,Windshield cracked by debris,No,39.0
CLM00004,POL02123,01-18-2020,Theft,60430.71,,Pending,Vandalism - scratches and dents,No,53.0
CLM00005,POL00616,08-03-2022,Theft,31226.82,,Approved,Windshield cracked by debris,No,1.0
CLM00006,POL00797,13 Feb 2022,Vandalism,70816.39,,Pending,Vandalism - scratches and dents,No,25.0
CLM00007,POL01792,2024-10-25,Fire,52540.32,,Rejected,Flood damage during heavy rainfall,No,32.0
CLM00008,POL00903,2020-04-13,Fire,74538.84,73264.95,Settled,Windshield cracked by debris,No,38.0
CLM00009,POL00771,2023-01-15,Vandalism,45616.06,,Under Review,Hit and run incident,No,14.0
CLM00010,POL02761,2022-11-14,Flood,62980.83,,Approved,Vandalism - scratches and dents,No,42.0
CLM00011,POL00461,10-21-2023,Theft,75195.69,,Pending,Vandalism - scratches and dents,Yes,55.0
CLM00012,POL01022,28 Oct 2021,Accident,51336.1,,Rejected,Vandalism - scratches and dents,No,53.0
CLM00013,POL01320,12 Jul 2024,Vandalism,17476.63,,Pending,Flood damage during heavy rainfall,No,43.0
CLM00014,POL01922,2023-10-12,Fire,77104.24,55769.52,Settled,Hit and run incident,No,14.0
CLM00015,POL02419,2020-05-06,Natural Disaster,24334.84,,Pending,,No,24.0
CLM00016,POL01814,04-28-2024,Accident,20384.88,,Rejected,Vandalism - scratches and dents,No,
CLM00017,POL00086,17 Apr 2021,Fire,64871.02,51031.21,Settled,Vehicle stolen from residential area,Yes,28.0
CLM00018,POL00150,01-16-2020,Fire,-2076.32,,Rejected,Hit and run incident,No,56.0
CLM00019,POL02418,2020-12-13,Natural Disaster,22269.42,,Approved,Vehicle stolen from residential area,Yes,46.0
CLM00020,POL02021,25/06/2022,Natural Disaster,30621.73,,Pending,Rear end damage in parking lot,Yes,13.0
CLM00021,POL00233,2021-06-30,Accident,33980.54,,Rejected,Vandalism - scratches and dents,No,53.0
CLM00022,POL01230,06-13-2022,Vandalism,61696.05,40453.7,Settled,Front end collision on highway,No,14.0
CLM00023,POL02122,18/07/2021,Theft,25311.39,,Approved,Fire damage in garage,No,39.0
CLM00024,POL01866,2023-03-02,Natural Disaster,12257.23,,Pending,,No,36.0
CLM00025,POL01660,08-19-2024,Flood,57227.21,,Pending,Flood damage during heavy rainfall,No,4.0
CLM00026,POL02448,09-02-2021,Vandalism,70652.21,,Rejected,Front end collision on highway,No,21.0
CLM00027,POL00497,25/04/2023,Vandalism,30671.19,38725.93,Settled,Front end collision on highway,No,13.0
CLM00028,POL01093,2020-06-11,Flood,72019.43,,Approved,,No,48.0
CLM00029,POL02651,17/04/2022,Theft,-1336.9,,Pending,Fire damage in garage,No,16.0
CLM00030,POL01369,26 Aug 2021,Natural Disaster,24050.95,,Approved,Rear end damage in parking lot,No,47.0
CLM00031,POL01276,10/08/2022,Fire,68909.33,58141.96,Settled,Vehicle stolen from residential area,No,0.0
CLM00032,POL02289,08-23-2022,Accident,73490.53,,Approved,,No,25.0
CLM00033,POL01322,12-01-2022,Flood,54178.64,,Under Review,,No,45.0
CLM00034,POL01651,2023-06-07,Accident,45237.07,,Approved,Fire damage in garage,No,40.0
CLM00035,POL01797,07/09/2022,Accident,73715.88,,Pending,Flood damage during heavy rainfall,Yes,2.0
CLM00036,POL01368,2020-03-17,Accident,45758.17,,Pending,Front end collision on highway,No,43.0
CLM00037,POL02092,01-27-2020,Fire,70870.21,,Rejected,Flood damage during heavy rainfall,No,55.0
CLM00038,POL00930,08-05-2023,Natural Disaster,2050.77,,Under Review,Flood damage during heavy rainfall,No,54.0
CLM00039,POL01345,29 Dec 2024,Natural Disaster,34984.0,,Approved,Front end collision on highway,No,36.0
CLM00040,POL00830,09/07/2024,Natural Disaster,49184.25,,Pending,,No,
CLM00041,POL00769,2022-05-30,Theft,4235.53,,Under Review,Front end collision on highway,No,28.0
CLM00042,POL00846,07 Mar 2020,Flood,40419.44,,Approved,Windshield cracked by debris,No,51.0
CLM00043,POL00379,2023-12-02,Fire,30674.36,,Approved,Rear end damage in parking lot,No,
CLM00044,POL01710,02/06/2022,Flood,73909.45,,Approved,,No,49.0
CLM00045,POL00351,24/11/2022,Flood,3545.85,,Rejected,Front end collision on highway,No,8.0
CLM00046,POL01567,2020-08-20,Fire,55130.62,,Approved,Vandalism - scratches and dents,Yes,8.0
CLM00047,POL00727,21 Nov 2020,Theft,20702.88,,Rejected,Vehicle stolen from residential area,No,37.0
CLM00048,POL02216,07-13-2021,Flood,64922.68,34689.12,Settled,Rear end damage in parking lot,No,38.0
CLM00049,POL02970,13/08/2020,Flood,62025.26,47751.08,Settled,Rear end damage in parking lot,No,3.0
